Gender,Age Groups,Category,Product Name,Product Price,Image_url,colors,First Age,Last Age,sizes,description,HEEL HEIGHT,DESCRIPTION,FOOTWEAR STYLE,NICE TO KNOW
boy,teen,shoes,TRAINERS,19.99,https://image.hm.com/assets/hm/ff/7e/ff7eac348a861831a75cbddb2f26c57e406cdf24.jpg?imwidth=1536,['White'],19,29,"['2', '3', '3.5', '4', '5', '6']","Classic, clean-style trainers with a lightly padded edge and tongue and lacing at the front. Linings in piqué and insoles in Cellfit™ technical foam for extra comfort. Patterned soles. Height of soles 3 cm.",No heel,"White, Solid colour",Trainers,
women,adult,shoes,CHELSEA BOOTS,27.99,https://image.hm.com/assets/hm/75/f0/75f0834a739c96e52265c8378106109e7500a565.jpg?imwidth=1536,"['Black', 'Dark greige']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Chelsea boots with elastic gores in the sides and a loop at the back. Satin linings and insoles.,Low heel,"Black, Solid colour",Chelsea boots,
women,adult,shoes,CHELSEA BOOTS,27.99,https://image.hm.com/assets/hm/b3/01/b3013d89eb1be4b79448a71f0e24cdaa7515b56b.jpg?imwidth=1536,"['Dark greige', 'Black']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Chelsea boots with elastic gores in the sides and a loop at the back. Satin linings and insoles.,Low heel,"Dark greige, Solid colour",Chelsea boots,
women,adult,shoes,HEELED SOCK BOOTS,37.99,https://image.hm.com/assets/hm/5f/55/5f550fc1418b10fa0f838c217f69e87f292ebbf8.jpg?imwidth=1536,"['Dark beige', 'Black']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']","Ankle boots in napped fabric with stretchy, fitted shafts, pointed toes and narrow, covered heels. Jersey linings and insoles.",Low heel,"Dark beige, Solid colour","Ankle boots, Sock boots",
women,adult,shoes,MARY JANE BALLET PUMPS,21.99,https://image.hm.com/assets/hm/9b/b4/9bb40d94744c327a5daba36906ae8b6a69794c4b.jpg?imwidth=1536,['Black'],19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Mary Jane-style ballet pumps with almond toes and an adjustable foot strap with a metal buckle. Delicate piping along the opening and foot strap.,No heel,"Black, Solid colour","Ballet pumps, Mary Janes",
women,adult,shoes,BALLET PUMPS,18.99,https://image.hm.com/assets/hm/a8/db/a8db4e13bd8281a2e01f53f990e857f42686b41e.jpg?imwidth=1536,"['Beige/Black', 'Black/Patent', 'Black', 'Black']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Classic ballet pumps with a decorative bow at the front. Satin linings.,No heel,"Beige/Black, Block-coloured",Ballet pumps,
women,adult,shoes,MARY JANE BALLET PUMPS,18.99,https://image.hm.com/assets/hm/6c/e0/6ce0134f3ab4af6032357de52f324b5b1ffa783c.jpg?imwidth=1536,"['Black', 'Greige', 'Silver-coloured']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Classic ballet pumps in a Mary Jane design with square toes and a narrow foot strap with a metal buckle. Satin linings.,No heel,"Black, Solid colour",Ballet pumps,
women,adult,shoes,HEELED SOCK BOOTS,37.99,https://image.hm.com/assets/hm/a7/23/a7234674bc13daf932cc00ec09d1ba52492a4d6a.jpg?imwidth=1536,"['Black', 'Dark beige']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']","Ankle boots in napped fabric with stretchy, fitted shafts, pointed toes and narrow, covered heels. Jersey linings and insoles.",Low heel,"Black, Solid colour","Ankle boots, Sock boots",
women,adult,shoes,KNEE-HIGH COWBOY BOOTS,54.99,https://image.hm.com/assets/hm/08/d1/08d1dd469dbf44b38e4a734e701411fc6dbad7e5.jpg?imwidth=1536,"['Beige', 'Black']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Cowboy boots with pointed toes and knee-high shafts with a loop at the sides. Decorative seams and cowboy heels. Satin linings.,High heel,"Beige, Solid colour",Boots,
women,adult,shoes,LOAFERS,27.99,https://image.hm.com/assets/hm/af/7c/af7cf6cc380525ecf6d9db8f608eff54d3f031b7.jpg?imwidth=1536,"['Black', 'Black']",19,200,"['2', '3', '4', '5', '6', '7', '8', '9']",Loafers with a decorative tab at the front. Satin linings. Height of soles 3 cm.,Low heel,"Black, Solid colour",Loafers,
